longitude,latitude,crop
-122.5,40.0,BARLEY
-122.48823529411764,40.0,BARLEY
-122.47647058823529,40.0,BARLEY
-122.46470588235294,40.0,BARLEY
-122.45294117647059,40.0,BARLEY
-122.44117647058823,40.0,BARLEY
-122.42941176470588,40.0,BARLEY
-122.41764705882353,40.0,BARLEY
-122.40588235294118,40.0,BARLEY
-122.39411764705882,40.0,BARLEY
-122.38235294117646,40.0,BARLEY
-122.37058823529412,40.0,BARLEY
-122.35882352941177,40.0,BARLEY
-122.34705882352941,40.0,BARLEY
-122.33529411764705,40.0,BARLEY
-122.32352941176471,40.0,BARLEY
-122.31176470588235,40.0,BARLEY
-122.3,40.0,BARLEY
-122.28823529411764,40.0,BARLEY
-122.2764705882353,40.0,BARLEY
-122.26470588235294,40.0,BARLEY
-122.25294117647059,40.0,BARLEY
-122.24117647058823,40.0,BARLEY
-122.22941176470589,40.0,BARLEY
-122.21764705882353,40.0,BARLEY
-122.20588235294117,40.0,BARLEY
-122.19411764705882,40.0,BARLEY
-122.18235294117648,40.0,BARLEY
-122.17058823529412,40.0,BARLEY
-122.15882352941176,40.0,BARLEY
-122.1470588235294,40.0,BARLEY
-122.13529411764706,40.0,BARLEY
-122.12352941176471,40.0,BARLEY
-122.11176470588235,40.0,BARLEY
-122.1,40.0,BARLEY
-122.08823529411765,40.0,BARLEY
-122.0764705882353,40.0,BARLEY
-122.06470588235294,40.0,BARLEY
-122.05294117647058,40.0,BARLEY
-122.04117647058824,40.0,BARLEY
-122.02941176470588,40.0,BARLEY
-122.01764705882353,40.0,BARLEY
-122.00588235294117,40.0,BARLEY
-121.99411764705883,40.0,BARLEY
-121.98235294117647,40.0,BARLEY
-121.97058823529412,40.0,BARLEY
-121.95882352941176,40.0,BARLEY
-121.94705882352942,40.0,BARLEY
-121.93529411764706,40.0,BARLEY
-121.9235294117647,40.0,BARLEY
-121.91176470588235,40.0,BARLEY
-121.9,40.0,BARLEY
-121.88823529411765,40.0,BARLEY
-121.87647058823529,40.0,BARLEY
-121.86470588235294,40.0,BARLEY
-121.8529411764706,40.0,BARLEY
-121.84117647058824,40.0,BARLEY
-121.82941176470588,40.0,BARLEY
-121.81764705882352,40.0,BARLEY
-121.80588235294118,40.0,BARLEY
-121.79411764705883,40.0,BARLEY
-121.78235294117647,40.0,BARLEY
-121.77058823529411,40.0,BARLEY
-121.75882352941177,40.0,BARLEY
-121.74705882352941,40.0,BARLEY
-121.73529411764706,40.0,BARLEY
-121.7235294117647,40.0,BARLEY
-121.71176470588236,40.0,BARLEY
-121.7,40.0,BARLEY
-121.68823529411765,40.0,BARLEY
-121.67647058823529,40.0,BARLEY
-121.66470588235295,40.0,BARLEY
-121.65294117647059,40.0,BARLEY
-121.64117647058823,40.0,BARLEY
-121.62941176470588,40.0,BARLEY
-121.61764705882354,40.0,BARLEY
-121.60588235294118,40.0,BARLEY
-121.59411764705882,40.0,BARLEY
-121.58235294117647,40.0,BARLEY
-121.57058823529412,40.0,BARLEY
-121.55882352941177,40.0,BARLEY
-121.54705882352941,40.0,BARLEY
-121.53529411764706,40.0,BARLEY
-121.52352941176471,40.0,BARLEY
