longitude,latitude,crop
-120.5,37.0,BARLEY
-120.48876404494382,37.0,BARLEY
-120.47752808988764,37.0,BARLEY
-120.46629213483146,37.0,BARLEY
-120.45505617977528,37.0,BARLEY
-120.4438202247191,37.0,BARLEY
-120.43258426966293,37.0,BARLEY
-120.42134831460675,37.0,BARLEY
-120.41011235955057,37.0,BARLEY
-120.39887640449439,37.0,BARLEY
-120.38764044943821,37.0,BARLEY
-120.37640449438203,37.0,BARLEY
-120.36516853932584,37.0,BARLEY
-120.35393258426966,37.0,BARLEY
-120.34269662921348,37.0,BARLEY
-120.3314606741573,37.0,BARLEY
-120.32022471910112,37.0,BARLEY
-120.30898876404494,37.0,BARLEY
-120.29775280898876,37.0,BARLEY
-120.28651685393258,37.0,BARLEY
-120.2752808988764,37.0,BARLEY
-120.26404494382022,37.0,BARLEY
-120.25280898876404,37.0,BARLEY
-120.24157303370787,37.0,BARLEY
-120.23033707865169,37.0,BARLEY
-120.21910112359551,37.0,BARLEY
-120.20786516853933,37.0,BARLEY
-120.19662921348315,37.0,BARLEY
-120.18539325842697,37.0,BARLEY
-120.17415730337079,37.0,BARLEY
-120.16292134831461,37.0,BARLEY
-120.15168539325843,37.0,BARLEY
-120.14044943820225,37.0,BARLEY
-120.12921348314607,37.0,BARLEY
-120.11797752808988,37.0,BARLEY
-120.1067415730337,37.0,BARLEY
-120.09550561797752,37.0,BARLEY
-120.08426966292134,37.0,BARLEY
-120.07303370786516,37.0,BARLEY
-120.06179775280899,37.0,BARLEY
-120.0505617977528,37.0,BARLEY
-120.03932584269663,37.0,BARLEY
-120.02808988764045,37.0,BARLEY
-120.01685393258427,37.0,BARLEY
-120.00561797752809,37.0,BARLEY
-119.99438202247191,37.0,BARLEY
-119.98314606741573,37.0,BARLEY
-119.97191011235955,37.0,BARLEY
-119.96067415730337,37.0,BARLEY
-119.9494382022472,37.0,BARLEY
-119.93820224719101,37.0,BARLEY
-119.92696629213484,37.0,BARLEY
-119.91573033707866,37.0,BARLEY
-119.90449438202248,37.0,BARLEY
-119.8932584269663,37.0,BARLEY
-119.88202247191012,37.0,BARLEY
-119.87078651685393,37.0,BARLEY
-119.85955056179775,37.0,BARLEY
-119.84831460674157,37.0,BARLEY
-119.83707865168539,37.0,BARLEY
-119.82584269662921,37.0,BARLEY
-119.81460674157303,37.0,BARLEY
-119.80337078651685,37.0,BARLEY
-119.79213483146067,37.0,BARLEY
-119.78089887640449,37.0,BARLEY
-119.76966292134831,37.0,BARLEY
-119.75842696629213,37.0,BARLEY
-119.74719101123596,37.0,BARLEY
-119.73595505617978,37.0,BARLEY
-119.7247191011236,37.0,BARLEY
-119.71348314606742,37.0,BARLEY
-119.70224719101124,37.0,BARLEY
-119.69101123595506,37.0,BARLEY
-119.67977528089888,37.0,BARLEY
-119.6685393258427,37.0,BARLEY
-119.65730337078652,37.0,BARLEY
-119.64606741573034,37.0,BARLEY
-119.63483146067416,37.0,BARLEY
-119.62359550561797,37.0,BARLEY
-119.61235955056179,37.0,BARLEY
-119.60112359550561,37.0,BARLEY
-119.58988764044943,37.0,BARLEY
-119.57865168539325,37.0,BARLEY
-119.56741573033707,37.0,BARLEY
-119.5561797752809,37.0,BARLEY
-119.54494382022472,37.0,BARLEY
-119.53370786516854,37.0,BARLEY
-119.52247191011236,37.0,BARLEY
-119.51123595505618,37.0,BARLEY
-120.5,36.99090909090909,BARLEY
-120.48876404494382,36.99090909090909,BARLEY
-120.47752808988764,36.99090909090909,BARLEY
-120.46629213483146,36.99090909090909,BARLEY
-120.45505617977528,36.99090909090909,BARLEY
-120.4438202247191,36.99090909090909,BARLEY
-120.43258426966293,36.99090909090909,BARLEY
-120.42134831460675,36.99090909090909,BARLEY
-120.41011235955057,36.99090909090909,BARLEY
-120.39887640449439,36.99090909090909,BARLEY
-120.38764044943821,36.99090909090909,BARLEY
-120.37640449438203,36.99090909090909,BARLEY
-120.36516853932584,36.99090909090909,BARLEY
-120.35393258426966,36.99090909090909,BARLEY
-120.34269662921348,36.99090909090909,BARLEY
-120.3314606741573,36.99090909090909,BARLEY
-120.32022471910112,36.99090909090909,BARLEY
-120.30898876404494,36.99090909090909,BARLEY
-120.29775280898876,36.99090909090909,BARLEY
-120.28651685393258,36.99090909090909,BARLEY
-120.2752808988764,36.99090909090909,BARLEY
-120.26404494382022,36.99090909090909,BARLEY
-120.25280898876404,36.99090909090909,BARLEY
-120.24157303370787,36.99090909090909,BARLEY
-120.23033707865169,36.99090909090909,BARLEY
-120.21910112359551,36.99090909090909,BARLEY
-120.20786516853933,36.99090909090909,BARLEY
-120.19662921348315,36.99090909090909,BARLEY
-120.18539325842697,36.99090909090909,BARLEY
-120.17415730337079,36.99090909090909,BARLEY
-120.16292134831461,36.99090909090909,BARLEY
-120.15168539325843,36.99090909090909,BARLEY
-120.14044943820225,36.99090909090909,BARLEY
-120.12921348314607,36.99090909090909,BARLEY
-120.11797752808988,36.99090909090909,BARLEY
-120.1067415730337,36.99090909090909,BARLEY
-120.09550561797752,36.99090909090909,BARLEY
-120.08426966292134,36.99090909090909,BARLEY
-120.07303370786516,36.99090909090909,BARLEY
-120.06179775280899,36.99090909090909,BARLEY
-120.0505617977528,36.99090909090909,BARLEY
-120.03932584269663,36.99090909090909,BARLEY
-120.02808988764045,36.99090909090909,BARLEY
-120.01685393258427,36.99090909090909,BARLEY
-120.00561797752809,36.99090909090909,BARLEY
-119.99438202247191,36.99090909090909,BARLEY
-119.98314606741573,36.99090909090909,BARLEY
-119.97191011235955,36.99090909090909,BARLEY
-119.96067415730337,36.99090909090909,BARLEY
